Posted Date,Job Title,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-10-18 20:49:55.599354,Senior Business Analyst - Ban Dự án,Business Analyst,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-18 20:49:55.599354,DevOps Engineer (Agile/ Oracle) - Khối CNTT,DevOps,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-18 20:49:55.599354,Senior Unix System Administrator,System Admin,Renesas Design Vietnam,At office,IT Product,IT Hardware and Computing,1000+,Japan
2024-10-18 20:49:55.599354,Middle/Senior Fullstack Developer (.NET & ReactJS),.NET,GrapeCity,At office,IT Product,N/A,51-150,Japan
2024-10-18 20:49:55.599354,Fullstack Developer ( Python/ JavaScript/ NoSQL )~$2000,Python,"BII HIGH TECHNOLOGY., JSC",At office,IT Product,IT Services and IT Consulting,1-50,Vietnam
2024-10-18 20:49:55.599354,Junior C++ Developer,C++,DTS Software Vietnam,At office,IT Outsourcing,Software Development Outsourcing,151-300,Japan
2024-10-18 20:49:55.599354,Senior Backend Engineer (Java Spring Boot) ~2000$,Java,Nitori Digital Base Vietnam,At office,IT Product,Software Products and Web Services,1-50,Japan
2024-10-18 20:49:55.599354,Java Web Full-Stack Developer (Spring Boot),Spring,DTS Software Vietnam,At office,IT Outsourcing,Software Development Outsourcing,151-300,Japan
2024-10-18 20:49:55.599354,Project Leader/ Manager - thị trường Nhật,Project Manager,DTS Software Vietnam,At office,IT Outsourcing,Software Development Outsourcing,151-300,Japan
2024-10-18 20:49:55.599354,"Manual Tester (SQL, QA QC, Test Web, Data Test)",Tester,DTS Software Vietnam,At office,IT Outsourcing,Software Development Outsourcing,151-300,Japan
2024-10-18 20:49:55.599354,"Backend Dev (PHP, Laravel) up to 2000$",PHP,ITZ,At office,IT Product,IT Services and IT Consulting,1-50,Japan
2024-10-18 20:49:55.599354,Site Reliability Engineer,AWS,Pizza Hut Digital & Technology,Hybrid,IT Product,Software Products and Web Services,51-150,United Kingdom
2024-10-18 20:49:55.599354,Front End ( .NET/ Angular/ HTML),.NET,Motorola Solutions,At office,IT Product,IT Services and IT Consulting,1000+,United States
2024-10-18 20:49:55.599354,"Back End (C#, .NET, PostgreSQL)",C#,Motorola Solutions,At office,IT Product,IT Services and IT Consulting,1000+,United States
2024-10-18 20:49:55.599354,"Mid/Senior QA Engineer (Manual,Auto,Agile)",Tester,MTI TECHNOLOGY,Hybrid,IT Product,IT Services and IT Consulting,151-300,Japan
2024-10-18 20:49:55.599354,Java API Engineer,Java,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-18 20:49:55.599354,[HCM] Middle/Senior Scrum Master,Scrum,MTI TECHNOLOGY,Hybrid,IT Product,IT Services and IT Consulting,151-300,Japan
2024-10-18 20:49:55.599354,"Backend Developer (PHP, Laravel, MVC, OOP)",PHP,Macromill South East Asia Việt Nam,Hybrid,IT Service and IT Consulting,Research Services,1-50,Japan
2024-10-18 20:49:55.599354,Middle Fullstack Javascript Developer (Vuejs/Nodejs),JavaScript,AZoom VietNam,At office,IT Product,"Real Estate, Property and Construction",51-150,Japan
