Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-18 20:49:55.599354,Lập trình viên Python Backend,Python,SQL,Django,Med-Aid,At office,Ha Noi,IT Product,N/A,1-50,United States,Monday - Friday,
2024-10-18 20:49:55.599354,Senior Data Analyst,Python,SQL,NULL,Capgemini Vietnam,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France,Monday - Friday,No OT
2024-10-18 20:49:55.599354,QA Engineer (Tester),QA QC,English,Tester,Med-Aid,At office,Ha Noi,IT Product,N/A,1-50,United States,Monday - Friday,
2024-10-18 20:49:55.599354,"Data Engineer - Hybrid working (Oracle, P/L SQL, T SQL)",Database,SQL,Oracle,SHBFinance,Hybrid,Ha Noi,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Bridge Engineer (BrSE,Project Manager)",Bridge Engineer,Japanese,Project Manager,Persol Career Tech Studio Vietnam,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,1-50,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,CV Kiểm toán nội bộ CNTT (IT Audit),Security,Database,SQL,VCBS,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"VHT - Embedded Software Engineer (Linux, C++)",Embedded,C++,Linux,Viettel Group,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,"Quản Lý Thông Tin Nhân Sự (SQL, Data Analyst, Power BI)",SQL,Database,Data Analyst,Vietnam International Bank (VIB),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,Tester/ QA QC,Tester,QA QC,NULL,TOHSoft,At office,Ha Noi,IT Product,Telecommunication,51-150,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,CV/ CVCC Hỗ trợ ứng dụng (OPN/ Oracle/ SQL)-Ban dự án,Oracle,Python,SQL,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,CV/CVCC Quản trị hệ thống máy chủ (Linux/System Admin),System Admin,Oracle,Linux,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
